lane,condition,curated_estimates,curated_abstracts,screened,usable_per_100_screened,verdict_at_K3
acute,Appendicitis,5,4,59,6.8,evidence-backed
acute,Ischemic stroke,7,6,60,10.0,evidence-backed
acute,Pulmonary embolism (high-risk),4,3,60,5.0,evidence-backed
acute,Aortic dissection,1,1,81,1.2,uncertain (S3 by uncertainty)
acute,Mesenteric ischemia,9,5,81,6.2,evidence-backed
acute,Major trauma,1,1,60,1.7,uncertain (S3 by uncertainty)
acute,Subarachnoid hemorrhage,0,0,81,0.0,uncertain (S3 by uncertainty)
lower,CTPA for suspected PE,18,17,100,17.0,evidence-backed
lower,Head CT in syncope,9,9,56,16.1,evidence-backed
lower,Incidental-finding surveillance,9,9,99,9.1,evidence-backed
lower,Head CT in minor injury,6,5,100,5.0,evidence-backed
lower,CT after cardiac arrest,5,5,99,5.1,evidence-backed
lower,CT for nonspecific abdominal pain,3,3,169,1.8,evidence-backed
lower,Repeat CT for renal colic,1,1,161,0.6,uncertain (S3 by uncertainty)
lower,Whole-body CT screening,1,1,48,2.1,uncertain (S3 by uncertainty)
